Stability visualizer
Use number keys to select system:
        0: linear oscillator: positive stiffness
        1: linear oscillator: negative stiffness
        2: van der Pol oscillator: nonlinear damping
Use e/r keys to select numerical analysis method:
        e: Euler's Method: First order
        r: Runge-Kutta's Method: Forth order
Use up/down arrow keys to adjust parameter value

Use right/left arrow keys to adjust time step

Output:

Paremeter, System, RK Order, Distance, Time Step, Steps Taken, Kernel Time
0.100000,2,1,3.904531,0.400001,24,0.923104
0.100000,2,1,3.884165,0.395001,25,0.950464
0.100000,2,1,3.838754,0.390001,25,0.950528
0.100000,2,1,3.799858,0.385001,25,0.954592
0.100000,2,1,3.779730,0.380001,26,0.983808
0.100000,2,1,3.727304,0.375001,26,0.980832
0.100000,2,1,3.753405,0.370001,27,1.010944
0.100000,2,1,3.663948,0.365001,27,1.008864
0.100000,2,1,3.610981,0.360001,27,1.013376
0.100000,2,1,3.617229,0.355001,28,1.036800
0.100000,2,1,3.539305,0.350001,28,1.036096
0.100000,2,1,3.490259,0.345001,28,1.040544
0.100000,2,1,3.473466,0.340001,29,1.064480
0.100000,2,1,3.411788,0.335001,29,1.067552
0.100000,2,1,3.407102,0.330001,30,1.093184
0.100000,2,1,3.333793,0.325001,30,1.093216
0.100000,2,1,3.334361,0.320001,31,1.126368
0.100000,2,1,3.254280,0.315001,31,1.128992
0.100000,2,1,3.252911,0.310001,32,1.152896
0.100000,2,1,3.171670,0.305001,32,1.150240
0.100000,2,1,3.163480,0.300001,33,1.180064
0.100000,2,1,3.085962,0.295001,33,1.179424
0.100000,2,1,3.068703,0.290001,34,1.209856
0.100000,2,1,3.066182,0.285001,35,1.234048
0.100000,2,1,2.972120,0.280001,35,1.238112
0.100000,2,1,2.955386,0.275001,36,1.263872
0.100000,2,1,2.944217,0.270001,37,1.293184
0.100000,2,1,2.848813,0.265001,37,1.292640
0.100000,2,1,2.824320,0.260001,38,1.324832
0.100000,2,1,2.801011,0.255001,39,1.350656
0.100000,2,1,2.715804,0.250001,39,1.350752
0.100000,2,1,2.682632,0.245001,40,1.379456
0.100000,2,1,2.649068,0.240001,41,1.408544
0.100000,2,1,2.614176,0.235001,42,1.437280
0.100000,2,1,2.577363,0.230001,43,1.463680
0.100000,2,1,2.538388,0.225001,44,1.492896
0.100000,2,1,2.497291,0.220001,45,1.517408
0.100000,2,1,2.454320,0.215001,46,1.549152
0.100000,2,1,2.409872,0.210001,47,1.578208
0.100000,2,1,2.364450,0.205001,48,1.606816
0.100000,2,1,2.318613,0.200001,49,1.638048
0.100000,2,1,2.303469,0.195001,51,1.691968
0.100000,2,1,2.251950,0.190001,52,1.722528
0.100000,2,1,2.232090,0.185001,54,1.775232
0.100000,2,1,2.176791,0.180001,55,1.809248
0.100000,2,1,2.150159,0.175001,57,1.859872
0.100000,2,1,2.094014,0.170001,58,1.889216
0.100000,2,1,2.061426,0.165001,60,1.946944
0.100000,2,1,2.026339,0.160001,62,2.006912
0.100000,2,1,1.988815,0.155001,64,2.062272
0.100000,2,1,1.949247,0.150001,66,2.115200
0.100000,2,1,1.908261,0.145001,68,2.173024
0.100000,2,1,1.880808,0.140001,71,2.258784
0.100000,2,1,1.850342,0.135001,74,2.345536
0.100000,2,1,1.803235,0.130001,76,2.401888
0.100000,2,1,1.767904,0.125001,79,2.487552
0.100000,2,1,1.740912,0.120001,83,2.597248
0.100000,2,1,1.700618,0.115001,86,2.684864
0.100000,2,1,1.667717,0.110001,90,2.796768
0.100000,2,1,1.640047,0.105001,95,2.939648
0.100000,2,1,1.601667,0.100001,99,3.054240
0.100000,2,1,1.574170,0.095001,105,3.225472
0.100000,2,1,1.542886,0.090001,111,3.395744
0.100000,2,1,1.508468,0.085001,117,3.565312
0.100000,2,1,1.476050,0.080001,124,3.766848
0.100000,2,1,1.448094,0.075001,133,4.029792
0.100000,2,1,1.416238,0.070001,142,4.283104
0.100000,2,1,1.386736,0.065001,153,4.596896
0.100000,2,1,1.358034,0.060001,166,4.961248
0.100000,2,1,1.329058,0.055001,181,5.384608
0.100000,2,1,1.300601,0.050001,199,5.899936
0.100000,2,1,1.273804,0.045001,222,6.564768
0.100000,2,1,1.245663,0.040001,249,7.333856
0.100000,2,1,1.219054,0.035001,285,8.346720
0.100000,2,1,1.192834,0.030001,333,9.745312
0.100000,2,1,1.166611,0.025001,399,11.581568
0.100000,2,1,1.141155,0.020001,499,14.424800
0.100000,2,1,1.116180,0.015001,666,19.163328
0.100000,2,1,1.091576,0.010001,999,28.619488
0.100000,2,1,1.067454,0.005001,1999,57.040833
0.100000,2,1,1.067446,0.005000,2000,57.035744
0.100000,2,1,1.067446,0.005000,2000,57.056927
0.100000,2,1,1.067446,0.005000,2000,57.039009
0.100000,2,1,1.067446,0.005000,2000,57.014687
0.100000,2,1,1.067446,0.005000,2000,57.017246
0.100000,2,1,1.067446,0.005000,2000,57.034592
0.100000,2,1,1.067446,0.005000,2000,57.023872
0.100000,2,1,1.067446,0.005000,2000,57.035393
0.100000,2,1,1.067446,0.005000,2000,57.031586
